date,num_guests,num_guests_A,num_guests_D,num_guests_E,num_guests_B,num_guests_lux,avg_rev_guest,avg_rev_A,avg_rev_D,avg_rev_E,avg_rev_B,avg_rev_lux,rev_total,A_rev,D_rev,E_rev,B_rev,lux_rev
7/1/2015,65,65,0,0,0,0,94.86,94.86,0,0,0,0,6224.8,6224.8,0,0,0,0
7/2/2015,66,66,0,0,0,0,94.73,94.73,0,0,0,0,6310.8,6310.8,0,0,0,0
7/3/2015,13,13,0,0,0,0,75.61,75.61,0,0,0,0,982.9,982.9,0,0,0,0
7/4/2015,22,22,0,0,0,0,71.50,71.5,0,0,0,0,1572.98,1572.98,0,0,0,0
7/5/2015,12,12,0,0,0,0,68.98,68.98,0,0,0,0,827.71,827.71,0,0,0,0
7/6/2015,11,11,0,0,0,0,64.73,64.73,0,0,0,0,712.08,712.08,0,0,0,0
7/7/2015,12,12,0,0,0,0,64.54,64.54,0,0,0,0,774.45,774.45,0,0,0,0
7/8/2015,27,27,0,0,0,0,60.21,60.21,0,0,0,0,1625.71,1625.71,0,0,0,0
7/9/2015,27,27,0,0,0,0,61.84,61.84,0,0,0,0,1669.59,1669.59,0,0,0,0
7/10/2015,6,6,0,0,0,0,73.60,73.6,0,0,0,0,441.61,441.61,0,0,0,0
7/11/2015,37,37,0,0,0,0,84.61,84.61,0,0,0,0,3130.64,3130.64,0,0,0,0
7/12/2015,33,33,0,0,0,0,85.01,85.01,0,0,0,0,2805.18,2805.18,0,0,0,0
7/13/2015,32,32,0,0,0,0,83.43,83.43,0,0,0,0,2669.78,2669.78,0,0,0,0
7/14/2015,2,2,0,0,0,0,56.98,56.98,0,0,0,0,113.96,113.96,0,0,0,0
7/15/2015,25,25,0,0,0,0,62.26,62.26,0,0,0,0,1556.5,1556.5,0,0,0,0
7/16/2015,25,25,0,0,0,0,62.26,62.26,0,0,0,0,1556.5,1556.5,0,0,0,0
7/17/2015,56,56,0,0,0,0,99.18,99.18,0,0,0,0,5554,5554,0,0,0,0
7/18/2015,99,99,0,0,0,0,86.36,86.36,0,0,0,0,8549.41,8549.41,0,0,0,0
7/19/2015,44,44,0,0,0,0,69.38,69.38,0,0,0,0,3052.91,3052.91,0,0,0,0
7/20/2015,24,24,0,0,0,0,67.11,67.11,0,0,0,0,1610.66,1610.66,0,0,0,0
7/21/2015,17,17,0,0,0,0,57.19,57.19,0,0,0,0,972.16,972.16,0,0,0,0
7/22/2015,25,21,3,0,0,1,59.86,59.46,62,0,0,62,1496.62,1248.62,186,0,0,62
7/23/2015,63,46,11,1,3,2,73.12,68.97,83.10909091,90,92.73333333,76,4606.86,3172.46,914.2,90,278.2,152
7/24/2015,6,4,1,0,0,1, $-   ,0,0,0,0,0,0,0,0,0,0,0
7/25/2015,67,44,20,0,2,1,55.26,53.72,57.585,0,62,63,3702.45,2363.75,1151.7,0,124,63
7/26/2015,39,22,14,0,2,1,57.45,58.1,55.37142857,0,62,63,2240.45,1278.25,775.2,0,124,63
7/27/2015,64,40,19,2,2,1,60.33,58.99,61.11052632,76.7,62,63,3861.25,2359.75,1161.1,153.4,124,63
7/28/2015,55,29,20,2,2,2,55.80,55.41,56.084,76.7,62,31.5,3068.98,1606.9,1121.68,153.4,124,63
7/29/2015,25,15,6,2,1,1,56.92,59.8,64.78,34.7,68,0,1423.04,896.96,388.68,69.4,68,0
7/30/2015,18,13,4,0,1,0,56.64,55.07,58.92,0,68,0,1019.56,715.88,235.68,0,68,0
7/31/2015,18,14,3,0,1,0,61.31,64.56,43.89666667,0,68,0,1103.53,903.84,131.69,0,68,0
8/1/2015,31,19,9,0,3,0,70.14,73.89,59.10444444,0,79.5,0,2174.38,1403.94,531.94,0,238.5,0
8/2/2015,34,21,11,0,2,0,63.11,69.76,48.35818182,0,74.375,0,2145.67,1464.98,531.94,0,148.75,0
8/3/2015,51,32,15,0,3,1,63.61,65.2,61.796,0,76.91666667,0,3244.17,2086.48,926.94,0,230.75,0
8/4/2015,38,25,12,0,0,1,59.18,62.82,56.51583333,0,0,0,2248.77,1570.58,678.19,0,0,0
8/5/2015,101,71,28,1,0,1,62.59,60.51,69.62142857,76.5,0,0,6321.82,4295.92,1949.4,76.5,0,0
8/6/2015,113,80,27,1,5,0,66.33,64.07,70.35481481,76.5,78.8,0,7495.75,5125.67,1899.58,76.5,394,0
8/7/2015,109,78,21,2,6,2,71.15,67.45,75.17047619,68.25,77.41666667,157.5,7755.75,5261.17,1578.58,136.5,464.5,315
8/8/2015,128,92,25,1,5,5,76.92,72.37,79.788,60,71.8,154.8,9846.12,6658.42,1994.7,60,359,774
8/9/2015,110,75,21,3,7,4,80.17,79.15,78.81904762,66.25,59.57142857,153,8819.2,5936.25,1655.2,198.75,417,612
8/10/2015,159,104,36,3,11,5,78.91,79.79,72.11666667,82.08333333,71.36363636,124.2,12546.16,8297.71,2596.2,246.25,785,621
8/11/2015,172,106,39,6,14,7,80.35,81.68,74.91025641,92.54166667,64.45714286,111.8571429,13820.55,8658.4,2921.5,555.25,902.4,783
8/12/2015,140,94,25,4,12,5,80.54,82.89,74.36,92.5625,66.325,91.8,11276.18,7792.03,1859,370.25,795.9,459
8/13/2015,122,86,16,4,10,6,81.33,82.16,76.6875,92.5625,64.79,102,9922.61,7065.46,1227,370.25,647.9,612
8/14/2015,147,98,36,2,7,4,94.70,96.02,98.04166667,95.75,67.71428571,78.75,13920.37,9410.37,3529.5,191.5,474,315
8/15/2015,180,113,44,8,11,4,91.13,89.36,96.55681818,95.625,77.72727273,109.25,16403.33,10097.83,4248.5,765,855,437
8/16/2015,106,69,20,7,6,4,82.18,78.8,95.89,91.57142857,41.16666667,117,8711.3,5437.5,1917.8,641,247,468
8/17/2015,153,107,32,6,4,4,84.56,79.9,97.759375,95.58333333,54.5,117,12937.34,8549.54,3128.3,573.5,218,468
8/18/2015,163,108,38,5,6,6,86.74,80.97,96.37631579,84.066,88.08333333,130.5,14138.85,8744.72,3662.3,420.33,528.5,783
8/19/2015,117,76,26,4,6,5,90.07,88.24,85.49653846,96.8325,82.58333333,145.4,10538.6,6705.86,2222.91,387.33,495.5,727
8/20/2015,113,73,24,6,5,5,89.89,88.14,90.47875,75.18,76.5,143.6,10157.59,6434.52,2171.49,451.08,382.5,718
8/21/2015,105,68,20,5,5,7,91.23,86.73,91.937,80.466,76.5,151.0957143,9578.78,5897.54,1838.74,402.33,382.5,1057.67
8/22/2015,115,76,25,4,3,7,89.43,83.93,102.4696,69.5825,72.33333333,121.2385714,10284.17,6378.43,2561.74,278.33,217,848.67
8/23/2015,106,69,23,4,3,7,88.46,82.12,92.64086957,69.5825,88,148.0957143,9376.25,5666.51,2130.74,278.33,264,1036.67
8/24/2015,126,80,33,1,7,5,80.03,75.33,85.49969697,0,66.92857143,153.6,10084.03,6026.04,2821.49,0,468.5,768
8/25/2015,131,74,40,1,7,9,77.34,71.89,73.85975,0,66.92857143,154.3333333,10131.88,5319.99,2954.39,0,468.5,1389
8/26/2015,132,70,38,6,11,7,75.54,72.32,72.87763158,81.66666667,66,132,9971.62,5062.27,2769.35,490,726,924
8/27/2015,113,65,31,5,8,4,77.16,72.07,76.19258065,98,71.25,153,8718.62,4684.65,2361.97,490,570,612
8/28/2015,82,46,27,1,4,4,81.21,80.71,77.04333333,90,38.25,155.8325,6659.04,3712.54,2080.17,90,153,623.33
