date,num_guests,num_guests_A,num_guests_D,num_guests_E,num_guests_C,num_guests_lux,avg_rev_guests,avg_rev_A,avg_rev_D,avg_rev_E,avg_rev_C,avg_rev_lux,rev_total,rev_A,rev_D,rev_E,rev_C,rev_lux
7/1/2015,34,11,6,7,5,5,93.73,78.77,89.82,101.06,85.52,129.30,3186.88,866.47,538.93,707.41,427.59,646.48
7/2/2015,63,18,13,12,9,11,97.72,74.31,93.66,116.53,89.47,127.05,6156.38,1337.59,1217.64,1398.34,805.24,1397.57
7/3/2015,80,26,15,17,10,12,99.47,79.10,92.13,120.87,90.81,129.67,7957.40,2056.72,1381.90,2054.71,908.05,1556.02
7/4/2015,107,39,23,19,10,16,97.00,79.48,94.93,120.34,81.81,124.42,10378.52,3099.80,2183.40,2286.51,818.11,1990.70
7/5/2015,121,50,26,18,12,15,97.58,82.41,91.21,119.32,96.15,134.21,11806.77,4120.65,2371.39,2147.70,1153.81,2013.22
7/6/2015,141,53,31,26,12,19,101.09,81.84,92.64,118.57,108.57,139.94,14254.09,4337.65,2871.79,3082.83,1302.87,2658.95
7/7/2015,152,58,35,26,12,21,103.13,83.82,93.51,120.51,117.10,143.05,15676.49,4861.36,3272.85,3133.13,1405.20,3003.95
7/8/2015,157,58,38,30,9,22,104.77,86.69,96.44,120.18,113.56,142.20,16448.71,5028.30,3664.75,3605.29,1022.00,3128.37
7/9/2015,168,67,38,32,11,20,105.89,86.73,99.01,125.12,115.36,147.18,17790.31,5811.10,3762.56,4003.98,1269.00,2943.67
7/10/2015,177,67,44,31,12,23,108.87,88.21,102.35,126.14,126.91,148.81,19269.19,5909.86,4503.40,3910.35,1522.88,3422.70
7/11/2015,174,69,44,32,11,18,110.73,93.98,104.11,128.86,132.99,145.28,19266.35,6484.29,4580.67,4123.51,1462.93,2614.95
7/12/2015,173,66,49,30,9,19,113.15,97.95,107.11,127.67,131.21,150.08,19575.23,6464.43,5248.32,3830.03,1180.93,2851.52
7/13/2015,179,68,50,30,9,22,118.41,105.29,111.36,129.28,131.63,154.78,21195.83,7159.53,5568.08,3878.36,1184.63,3405.23
